CONTENT ID	CONTENT TYPE	MIRNA ID	SPECIES	EXPERIMENT ID	METHODS	Entrez GENE ID	COMMENTS
1	mirna	let-7a	Mus musculus	15	miRCURY LNA Array	387244	Clear hit to Entrez gene ID
2	mirna	let-7b	Mus musculus	15	miRCURY LNA Array	387245	Clear hit to Entrez gene ID
3	mirna	let-7c	Mus musculus	15	miRCURY LNA Array	387246	Clear hit to Entrez gene ID
4	mirna	let-7d*	Mus musculus	15	miRCURY LNA Array	387247	Clear hit to Entrez gene ID
5	mirna	let-7d	Mus musculus	15	miRCURY LNA Array	387247	Clear hit to Entrez gene ID
6	mirna	let-7e	Mus musculus	15	miRCURY LNA Array	75202	Clear hit to Entrez gene ID
7	mirna	let-7f	Mus musculus	15	miRCURY LNA Array	387252	Ambiguous mapping to Entrez gene ID
8	mirna	let-7f	Mus musculus	15	miRCURY LNA Array	387253	Ambiguous mapping to Entrez gene ID
9	mirna	let-7i	Mus musculus	15	miRCURY LNA Array	387251	Clear hit to Entrez gene ID
10	mirna	miR-106b	Mus musculus	15	miRCURY LNA Array	723925	Clear hit to Entrez gene ID
11	mirna	miR-107	Mus musculus	15	miRCURY LNA Array	723826	Clear hit to Entrez gene ID
12	mirna	miR-10a	Mus musculus	15	miRCURY LNA Array	723893	Clear hit to Entrez gene ID
13	mirna	miR-129-5p	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
14	mirna	miR-130b	Mus musculus	15	miRCURY LNA Array	723816	Clear hit to Entrez gene ID
15	mirna	miR-140*	Mus musculus	15	miRCURY LNA Array	387158	Clear hit to Entrez gene ID
16	mirna	miR-142-3p	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
17	mirna	miR-142-5p	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
18	mirna	miR-146b	Mus musculus	15	miRCURY LNA Array	751550	Clear hit to Entrez gene ID
19	mirna	miR-150	Mus musculus	15	miRCURY LNA Array	387168	Clear hit to Entrez gene ID
20	mirna	miR-15a	Mus musculus	15	miRCURY LNA Array	387174	Clear hit to Entrez gene ID
21	mirna	miR-15b	Mus musculus	15	miRCURY LNA Array	387175	Clear hit to Entrez gene ID
22	mirna	miR-16	Mus musculus	15	miRCURY LNA Array	387134	Clear hit to Entrez gene ID
23	mirna	miR-17-3p	Mus musculus	15	miRCURY LNA Array	723905	Clear hit to Entrez gene ID
24	mirna	miR-17-5p	Mus musculus	15	miRCURY LNA Array	723905	Clear hit to Entrez gene ID
25	mirna	miR-18	Mus musculus	15	miRCURY LNA Array	387135	Clear hit to Entrez gene ID
